class,vec0,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19,vec20,vec21,vec22,vec23,vec24,vec25,vec26,vec27,vec28,vec29,vec30,vec31,vec32,vec33,vec34,vec35,vec36,vec37,vec38,vec39,vec40,vec41,vec42,vec43,vec44,vec45,vec46,vec47,vec48,vec49
business,0.24199021,1.5443244,-1.7296253,-2.2439797,1.1111044,3.057871,0.1126713,-1.4228294,1.0146204,1.5898113,-1.8629245,0.062082496,-3.6295485,0.39694646,1.1356472,2.608123,-0.53665715,-1.8756794,-2.0262945,0.86964774,-1.8926802,0.70129573,0.13507065,-0.13301788,-3.0701363,-0.002388824,0.7018812,0.62764615,2.0925767,-0.120204054,-0.20113243,-1.3410093,0.4396635,-0.6473187,1.0046172,-0.84506315,0.7219363,-0.77392256,2.8366165,0.6586306,1.0453898,-2.112188,-0.99159086,-1.1488214,-0.28360322,-0.8434977,1.0451359,-1.8298917,1.1650583,2.2932386
business,-0.45418462,-0.35895917,2.5383885,-0.82083803,3.0747423,0.91079134,0.82366437,-1.8814102,0.43357807,0.69047683,-1.5757064,-1.1233339,-0.95331424,1.409729,-1.8940722,2.3915715,-1.9088871,-0.65848863,-0.63731056,-0.6171329,-0.41842547,-0.011797875,1.1673698,1.1092848,-1.0322185,0.33168945,-0.46309584,0.4151926,1.7601037,1.3319893,-0.0052486253,-1.2752545,-0.19646934,-1.4061942,2.1173637,0.35992214,-0.09907589,-0.33717567,1.8527459,0.9548863,0.4413193,-2.1853635,-1.9670947,-1.2346295,1.5038863,0.022258295,1.3851054,1.4961573,-1.2889606,1.8331826
business,-0.10575273,1.6760191,-0.83893704,-1.3707887,1.8085492,0.12550451,-0.74688673,-1.5375847,-0.1172421,-1.0931169,-1.290287,-0.90152544,-3.5443087,0.1682188,-0.8393378,1.5043937,-0.759699,0.9657213,-0.49156195,1.8590947,-0.33048224,-0.96787816,-0.89128053,-1.5261863,0.119721465,1.5494249,0.96348685,0.39334762,1.2837552,-0.12467812,-0.92101973,-0.5175705,0.42633647,0.55378246,0.007951077,-0.110194884,0.11835929,0.19194962,1.71506,-0.27526778,2.8260374,-2.575173,-2.3219066,-0.3658581,1.5748076,-1.1648389,2.139742,0.7890454,-0.35549793,1.6137998
business,0.99565333,0.7896353,-0.16214174,-0.9860179,2.2986097,2.9394624,0.3137449,-0.4162938,0.93452036,1.6660208,-1.9073496,-1.9519378,-1.2048613,0.54674476,0.5260632,1.4401822,0.36423442,-0.0669111,-1.8294597,1.6313426,-0.013226502,2.6330516,1.258991,-0.25798687,-2.7149901,-0.33763206,-0.6396986,2.0729873,0.9244029,-0.020789923,-1.5490127,-0.84512603,0.40995416,0.6465148,2.1799104,-1.4205383,-0.20312117,-0.85273474,3.0610514,0.43661648,1.3490785,-1.042372,-1.1760359,-1.8676106,0.096171096,1.5273162,1.7958716,-1.530347,-1.7704709,1.1442518
business,0.15303105,0.040656958,-1.284926,-1.4396626,1.4512478,0.8176552,1.21128,-0.43062246,1.3331497,1.2817014,-0.11553759,-0.45932448,-1.529643,1.1672865,-0.62500244,2.8121,0.05634435,-0.2645405,-2.0973094,0.9925829,-0.27026284,1.6406047,-0.94668216,-0.05649108,-0.72277325,0.63603026,0.4074703,-1.2351079,1.6495626,-0.36563775,-0.5355683,0.5628787,0.1962966,0.6875665,0.27423927,-0.87287545,1.079811,-0.27757958,1.4094315,1.5217162,2.726128,-2.3305259,-1.9270482,-1.382968,0.9195767,-1.0971981,0.37717423,-1.5513926,-1.1443584,1.5046086
business,1.2263542,0.6243508,1.0889668,0.7074716,1.3400866,0.6882794,1.2330045,0.20290613,0.0791934,0.6516708,-1.5401176,-1.6411653,-0.058577046,1.6607295,-1.0245191,1.1511772,0.027679281,-0.660586,-1.4426534,-0.07006335,0.4085128,0.26318663,0.50000566,0.87978876,-1.4815291,0.25864828,-0.27713957,0.509148,1.315619,0.43765503,-0.7018547,0.064566806,-0.30505496,-0.62896997,1.0024606,-0.80821353,1.0903143,0.8544086,1.8034908,1.5623173,1.4107604,-0.44151467,-1.4366958,-0.8536318,-0.6467526,0.0074383873,-0.568104,1.3604385,-1.3924141,0.35894227
business,-0.42781362,0.64450747,0.17111744,0.4999317,1.4564525,1.19169,-0.98954135,0.37840465,0.5113835,1.9790632,-2.735905,-2.094428,-0.7804549,0.697394,-1.2956376,0.52270895,0.32208258,-0.023261322,-1.0302169,-0.38115224,0.017873656,-1.0016785,1.5664665,-0.35016963,-2.7814264,0.5681523,-0.4038666,2.0137112,1.1135969,0.7269204,-1.9995255,-1.4197012,0.3241292,-1.2672497,2.507082,-0.33139947,-0.123063095,0.19951148,2.3402007,2.3635876,-0.11504117,-0.5236635,-0.80674475,-1.7446936,0.5109609,0.31156182,0.8269626,0.88483906,0.0017732328,1.1843107
business,0.23128688,0.036585223,1.4975047,-0.8409271,2.9182785,-0.8118126,0.7919951,0.13997686,-0.58699167,0.58149433,-0.24016328,-1.5684525,0.72684664,1.7624562,-0.3400993,2.926181,-1.5647811,1.7474858,-1.4414449,-0.73164254,0.29413906,-0.88428426,-0.8861471,-0.031593997,-1.2779794,0.15719944,1.5281094,0.83051795,0.46005255,-0.4283503,1.1849266,-0.44603598,-0.7940705,0.0073705907,1.686008,-1.5405929,1.277899,-0.17927603,0.73605883,0.8009306,0.3189014,-0.45644546,-1.7604806,-2.1974018,1.1349094,0.4688974,-0.0372392,1.1972632,-0.5291826,0.019602973
business,0.21529171,0.82827276,0.039848674,-0.39774677,2.1418586,0.106114574,0.8512155,-0.18968627,0.32872155,0.40722016,-1.1009233,-0.54703647,1.055317,1.5913666,-1.1095978,1.3316323,0.08379286,-1.1869208,-1.0635097,-0.4636324,-0.6488935,1.5695285,-0.06251913,-0.5417558,-1.0591667,1.0799841,0.09116995,-0.28156623,1.88703,-1.1019925,-0.08291108,-0.6492545,1.3213245,2.5051813,0.90060216,-1.861365,0.050962064,-0.3124912,2.702817,-0.83227175,2.2055125,-1.6249799,-1.3437086,-2.367032,-0.45538124,-2.3282692,-0.3264916,0.94023335,-1.4273628,1.2115816
business,-1.0105633,1.0617803,0.16759577,-3.074099,0.14784281,0.20506164,-0.3174515,-0.03229151,1.1231389,-0.70880497,-1.7520286,-1.7650511,-2.0707595,0.77873296,0.51207393,1.3989942,-2.1340098,1.8337389,-0.92202353,-0.21900977,-1.5693768,0.44247007,0.030750783,-1.5719165,0.2852243,1.2286805,0.77094567,0.44735685,2.213958,-0.33743387,-1.4453878,0.34103638,1.1248155,-1.2692639,0.537183,-1.166285,-0.44547004,-0.40060204,1.115106,0.67122763,1.0084399,-0.46317512,-1.3984404,-1.2860497,1.2831701,-1.607572,0.8073616,1.1788423,-0.992584,1.6536207
