class,vec0,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19,vec20,vec21,vec22,vec23,vec24,vec25,vec26,vec27,vec28,vec29,vec30,vec31,vec32,vec33,vec34,vec35,vec36,vec37,vec38,vec39,vec40,vec41,vec42,vec43,vec44,vec45,vec46,vec47,vec48,vec49
business,1.8589414,-2.1750026,-0.86074835,-0.21504463,1.3785301,-0.31521308,-1.6365179,2.5333831,-1.3166509,1.7423123,-2.8776994,-0.5935015,-0.51070815,1.7731929,-2.9967573,-1.3200614,0.24038753,-0.14545208,0.18834686,-3.4103053,-0.51820356,1.975656,-1.0744013,1.1169218,-0.67321694,-5.4036064,1.0707803,-1.7917954,0.46853733,1.3656757,1.266351,-1.1520703,0.11136937,-0.5795904,-0.77338266,0.8811791,-1.3681426,-1.1232593,2.209045,-0.3262915,1.9922556,-0.7329484,1.204113,1.005686,1.9892207,0.80212986,-2.0418036,-2.5421999,-2.84642,0.77530974
business,1.5709925,-1.3045382,0.74633616,-0.64178467,-2.830541,-0.32698187,-0.04743366,-0.17448294,3.3243034,0.24360958,-2.5306537,0.61710733,-0.58103997,-0.8843709,0.7418417,-1.0932634,1.2509433,2.6394312,0.9541412,-0.25326994,0.779628,1.5226568,1.4459733,3.0150132,-0.9180981,-1.6881176,-0.8455936,0.5364517,-0.7459476,0.75556076,0.86053836,0.04248085,-0.15297626,-0.5404466,2.100521,-0.34671512,0.5740756,0.47316736,3.1242309,2.7837453,0.7724416,-1.0683784,0.8224657,1.2997209,1.4368064,-0.8404294,0.006554217,-1.2285813,-3.0595515,-0.8449999
business,0.848429,-1.9607807,-1.3000935,-0.62442464,1.7690619,1.1673597,1.6144542,0.70856124,-0.1691564,-2.3437924,-1.2953169,0.09153081,-2.2371368,-1.7538569,-2.7401452,1.8333304,0.43194464,1.9250337,-0.9922125,-0.06173724,0.15463786,1.1326481,0.06214858,3.2392535,1.6338338,-1.7585421,-0.61913645,2.217778,0.83799183,1.6230464,-0.01415236,-2.154782,0.48494038,-0.23849146,0.11756202,1.8839719,-0.9189477,-2.2602055,1.351335,1.0626643,-2.09499,-0.03667232,0.859912,1.5600977,0.53996044,-0.83907247,-1.087391,-1.0197314,-1.4372512,-0.306309
business,3.1586998,2.152319,-1.5995476,-0.7525337,0.49421147,-2.1053483,-0.9990646,0.67115444,-0.6708247,-1.3693633,-2.4589317,-0.14668879,0.21700832,-0.7617644,-2.8524933,-0.81517935,0.6713259,-1.4000002,0.29641286,-0.8534616,-2.6418447,1.0827162,-1.0653831,2.9777522,-1.5382545,-3.607022,-1.8145617,-0.055500858,-1.1778183,1.0520034,-1.2446905,-0.47479764,0.56659395,-1.7610859,1.7083545,-1.0667524,0.840881,-2.7888443,2.88212,2.20957,0.39200953,-0.9458974,-0.27073252,1.3012898,3.6391344,1.7624131,-1.9531894,-0.6578689,-0.6902875,1.0832999
business,-0.17895663,-0.8544388,-0.6117288,-1.0978367,-0.38610664,2.4166102,0.3592255,1.2091085,1.3732165,-0.52924937,-0.7435733,-4.088033,-1.2458917,-0.50060374,-0.2633673,1.0583503,-0.45503217,0.60572946,-0.98860925,-1.7783669,-2.7283106,-0.6699528,-1.4097035,2.5877202,-0.8410971,-3.604243,0.0997279,-2.315591,-0.038992997,2.5572076,-0.16699623,-1.8127158,1.8525783,-0.33484817,0.9809906,2.1195176,-0.6284089,-2.078081,2.1134555,1.2656171,0.7039045,-1.9065255,0.7697208,2.5890105,-0.29933178,0.5564215,-1.882543,2.1122253,-1.6163936,-0.64923066
business,0.14966173,0.8798055,0.48897666,-0.9160345,-2.0254943,0.061737765,-0.59011436,0.2384339,1.9981045,0.6162141,-1.850227,-1.3053787,-1.341844,0.8983974,-0.8971012,0.7531951,0.6425656,0.3893239,-0.83220965,0.61844987,-0.077608,-0.8965996,0.48623067,1.0762609,0.17017941,-2.3526134,-1.9746902,0.21977414,-0.76300424,-1.128482,-1.3374382,-0.7270538,-0.59691447,-0.35770455,2.1899004,-0.7473847,0.21548896,-0.3975283,3.1588063,0.5963072,0.9564362,-0.06488207,1.7335917,0.95254457,0.6390084,-0.6601991,-0.63559824,-0.45435476,-1.4957544,1.3290138
business,0.8982216,-0.24256212,-1.7851425,0.5599338,-2.0173504,-0.33778456,-1.1886948,-0.38683873,1.609322,-0.41207448,-2.71951,-0.013274859,-1.3296591,1.8034687,-1.6939766,-1.3946398,-0.052040562,-0.1302496,-1.1277146,-0.5468047,0.27738842,0.98793703,0.94956654,-0.47399506,-0.43264353,-3.3965201,-1.338386,0.5608559,0.65254474,-0.20999287,-1.704272,0.6914798,0.3857289,-1.2594303,1.8989141,-2.203594,-1.9307209,-1.3137811,1.6538235,1.378069,-0.39584395,0.71325165,0.6988686,0.56113935,1.365626,-1.360451,-1.6936014,-2.830272,-1.8004717,1.250053
business,-1.4391613,-1.1536903,0.94998175,0.2247185,0.13670403,2.701048,-0.43368578,-0.42060938,2.6217146,-0.05346396,-1.267947,-0.6967113,-0.65418696,0.459505,-0.43621135,0.13091591,1.2719746,-0.5636012,-1.2991847,1.569682,1.7580872,0.35983267,1.303759,2.693354,-1.0495827,-2.0464401,-2.1349666,-0.104296,-1.1408159,0.90890414,-1.5272067,-0.017541403,-0.77972704,-0.74171156,1.3656354,-1.4050438,-1.2718632,0.65705955,2.924448,1.0443203,-0.69988155,-1.203876,1.2960776,-0.72278315,-0.5700995,0.9141631,-0.101014584,-1.4847345,-1.1789165,-0.34296542
business,-0.59204954,-0.25400326,-0.02550516,-1.1182115,0.0024625084,0.4929814,0.24855222,0.89970845,1.9603164,-0.2821167,-1.0947388,-1.3536156,1.4846067,-2.5292149,-2.4969895,0.70960593,0.7462456,-1.0519698,-2.1423755,0.103955805,1.1148906,1.1833177,1.4636253,1.2876965,-0.75161576,-2.3919384,-2.5235515,-0.9486361,-0.8533964,1.9628487,2.2489038,-0.5048278,0.79344803,-0.501555,1.3517517,0.57412183,-1.2763032,-0.8821109,1.9215894,-0.3568822,1.9939227,0.41372734,3.3520172,1.711403,1.312672,1.3816642,-1.7556722,1.481032,-3.1388488,0.49695736
business,0.35120663,-1.0112292,0.9648039,2.5560994,0.25768745,1.1886617,0.81209826,1.5034039,1.6609608,-3.0608175,-0.5518641,-1.3192216,-1.2970031,-0.013732927,-1.4604859,-0.60363495,0.6644018,1.421896,-2.0251613,-2.5882642,0.11848497,-1.0098634,2.4032547,1.1911334,1.8129194,-1.8932425,0.099095345,1.5328019,0.3463176,2.5317109,0.7344981,2.422684,0.4671325,-0.23273852,0.35012764,-0.36341155,-1.0692458,-2.6880033,1.1812507,0.6551048,-1.2825277,0.5844721,1.8384495,0.93290305,1.2175385,0.41432828,-0.84866595,-0.7835442,-1.689622,-0.8288696
